parametro,cenario,modal,fator,lead_time_base_dias,lead_time_ajustado_dias,delta_dias
Lead Time,-50%,Marítimo,0.5,77,38,-39.0
Lead Time,-50%,Aéreo,0.5,23,12,-11.0
Lead Time,-50%,Rodoviário,0.5,17,8,-9.0
Lead Time,-20%,Marítimo,0.8,77,62,-15.0
Lead Time,-20%,Aéreo,0.8,23,18,-5.0
Lead Time,-20%,Rodoviário,0.8,17,14,-3.0
Lead Time,Base,Marítimo,1.0,77,77,0.0
Lead Time,Base,Aéreo,1.0,23,23,0.0
Lead Time,Base,Rodoviário,1.0,17,17,0.0
Lead Time,+20%,Marítimo,1.2,77,92,15.0
Lead Time,+20%,Aéreo,1.2,23,28,5.0
Lead Time,+20%,Rodoviário,1.2,17,20,3.0
Lead Time,+50%,Marítimo,1.5,77,116,39.0
Lead Time,+50%,Aéreo,1.5,23,34,11.0
Lead Time,+50%,Rodoviário,1.5,17,26,9.0
